transaction_id,timestamp,sender_id,receiver_id,amount,currency,payment_channel,city,country,merchant_category,transaction_type,risk_score,is_structured,rapid_movement_flag,suspicious_flag,ml_label
T100015,2024-01-01 00:18:00,SND1098,RCV2193,1593.16,INR,UPI,Mumbai,India,Retail,payment,23.48,0,0,0,0
T100016,2024-01-02 18:32:00,SND1127,RCV2021,5428.46,INR,UPI,Hyderabad,India,Services,payment,39.51,0,0,1,0
T100017,2024-01-01 23:03:00,SND_HF_17,RCV2016,962.16,INR,UPI,Hyderabad,India,Grocery,payment,0.0,0,0,0,0
T100018,2024-01-05 14:27:00,SND1115,RCV2160,288.58,INR,NEFT,Hyderabad,India,Travel,payment,23.46,0,0,0,0
T100019,2024-01-03 21:57:00,SND1016,RCV2298,1217.19,INR,UPI,Surat,India,Hospitality,payout,7.87,0,0,0,0
T100020,2024-01-03 05:21:00,SND1064,RCV2141,628.72,INR,UPI,Delhi,India,Grocery,transfer,6.3,0,0,0,0
T100021,2024-01-01 09:36:00,SND1169,RCV2053,603.24,INR,IMPS,Chennai,India,Grocery,transfer,13.17,0,0,0,0
T100022,2024-01-01 04:57:00,SND1143,RCV2123,72.9,INR,UPI,Bengaluru,India,Grocery,payment,27.57,0,0,1,0
T100023,2024-01-01 09:36:00,SND1125,RCV2088,502.62,INR,Card,Pune,India,CryptoExchange,payment,52.59,1,0,1,1
T100024,2024-01-01 04:16:00,SND1028,RCV2068,569.67,INR,Card,Chennai,India,Grocery,payment,0.0,0,0,0,0
T100025,2024-01-02 07:53:00,SND1068,RCV2179,1484.69,INR,NEFT,Mumbai,India,Jewellery,transfer,21.95,0,0,0,0
T100026,2024-01-02 09:43:00,SND1083,RCV2177,216.31,INR,IMPS,Chennai,India,CryptoExchange,transfer,13.3,0,0,1,1
T100027,2024-01-02 08:05:00,SND1080,RCV2092,45.32,INR,IMPS,Jaipur,India,Grocery,transfer,28.87,0,0,1,0
T100028,2024-01-01 18:02:00,SND1163,RCV2191,1983.18,INR,UPI,Mumbai,India,Hospitality,payment,43.29,0,0,0,0
T100029,2024-01-01 23:27:00,SND1111,RCV2186,92.45,INR,Card,Bengaluru,India,Retail,payment,13.41,0,0,0,0
T100030,2024-01-02 09:18:00,SND1116,RCV2024,368.77,INR,Card,Jaipur,India,Retail,cash_withdrawal,47.2,0,0,0,0
T100031,2024-01-03 19:12:00,SND1006,RCV2167,2597.78,INR,IMPS,Chennai,India,Jewellery,payment,42.69,0,0,1,0
T100032,2024-01-04 07:25:00,SND1044,RCV2069,995.71,INR,UPI,Pune,India,Grocery,cash_withdrawal,19.71,1,0,1,0
T100033,2024-01-01 04:12:00,SND1060,RCV2000,416.74,INR,UPI,Mumbai,India,Retail,payment,4.96,0,0,0,0
T100034,2024-01-02 03:03:00,SND1046,RCV2212,124.99,INR,NEFT,Kolkata,India,Retail,payment,9.47,0,0,0,0
T100035,2024-01-02 20:31:00,SND1011,RCV2271,922.26,INR,NEFT,Ahmedabad,India,Retail,refund,5.49,0,0,0,0
T100036,2024-01-01 14:53:00,SND1191,RCV2144,804.52,INR,NEFT,Bengaluru,India,Hospitality,cash_withdrawal,31.13,0,0,0,0
T100037,2024-01-01 01:32:00,SND1118,RCV2064,6338.44,INR,UPI,Surat,India,Grocery,cash_withdrawal,42.15,0,0,0,0
T100038,2024-01-01 17:51:00,SND_HF_23,RCV2005,1156.47,INR,IMPS,Bengaluru,India,RealEstate,transfer,22.89,0,0,0,0
T100039,2024-01-02 13:07:00,SND_HF_8,RCV2038,1111.92,INR,IMPS,Delhi,India,Services,payment,0.0,0,0,0,0
T100040,2024-01-01 04:47:00,SND1046,RCV2228,1836.5,INR,UPI,Hyderabad,India,Forex,cash_withdrawal,60.25,1,0,0,0
T100041,2024-01-01 19:58:00,SND1078,RCV2246,1804.21,INR,IMPS,Surat,India,Services,payment,39.11,0,0,0,0
T100042,2024-01-01 22:36:00,SND1125,RCV2239,1165.9,INR,UPI,Hyderabad,India,Travel,payment,8.71,0,0,0,0
T100043,2024-01-02 06:42:00,SND_HF_5,RCV2091,58.48,INR,NEFT,Chennai,India,Grocery,payment,45.11,0,0,0,0
T100044,2024-01-01 01:20:00,SND1046,RCV2238,266.14,INR,UPI,Mumbai,India,Electronics,transfer,8.95,0,0,0,0
T100045,2024-01-02 08:06:00,SND1077,RCV2153,446.4,INR,IMPS,Pune,India,Jewellery,payment,35.84,0,0,0,0
T100046,2024-01-01 10:27:00,SND_HF_25,RCV2272,605.12,INR,UPI,Mumbai,India,Grocery,payment,40.15,0,0,0,0
T100047,2024-01-02 03:11:00,SND1167,RCV2082,627.48,INR,IMPS,Delhi,India,Electronics,payment,0.39,0,0,0,0
T100048,2024-01-01 08:30:00,SND1069,RCV2003,147.99,INR,IMPS,Ahmedabad,India,Services,payment,0.0,0,0,0,0
T100049,2024-01-05 20:18:00,SND_HF_22,RCV2093,1666.84,INR,Card,Ahmedabad,India,Grocery,transfer,30.27,0,0,0,0
T100050,2024-01-01 07:25:00,SND1019,RCV2046,2200.1,INR,UPI,Kolkata,India,Grocery,payment,8.78,0,0,0,0
T100051,2024-01-02 14:27:00,SND1083,RCV2100,410052.92,INR,UPI,Hyderabad,India,Grocery,payment,43.94,0,0,0,0
T100052,2024-01-01 04:25:00,SND1119,RCV2075,3924.67,INR,IMPS,Ahmedabad,India,Hospitality,transfer,27.74,0,0,0,0
T100053,2024-01-04 07:29:00,SND1088,RCV2088,912.08,INR,IMPS,Bengaluru,India,CryptoExchange,payment,40.91,0,0,0,0
T100054,2024-01-02 01:17:00,SND1052,RCV2038,4225.93,INR,NEFT,Ahmedabad,India,Travel,payment,19.81,0,0,0,0
T100055,2024-01-02 22:31:00,SND1154,RCV2253,1887.98,INR,UPI,Surat,India,Grocery,transfer,35.82,1,0,1,0
T100056,2024-01-01 16:52:00,SND1156,RCV2156,1931.56,INR,IMPS,Bengaluru,India,Travel,payment,8.39,0,0,0,0
T100057,2024-01-01 17:04:00,SND1046,RCV2217,1067.49,INR,NEFT,Ahmedabad,India,Services,cash_withdrawal,1.33,0,0,0,0
T100058,2024-01-02 16:56:00,SND1105,RCV2286,837.81,INR,IMPS,Ahmedabad,India,Hospitality,cash_withdrawal,15.06,0,0,0,0
T100059,2024-01-01 13:27:00,SND1181,RCV2148,2055.33,INR,UPI,Jaipur,India,Retail,payment,12.95,0,0,0,0
T100060,2024-01-01 14:10:00,SND1161,RCV2127,913.42,INR,UPI,Ahmedabad,India,Forex,payment,18.63,0,0,0,0
T100061,2024-01-01 20:28:00,SND1147,RCV2062,1056.32,INR,NEFT,Pune,India,Grocery,transfer,33.59,0,0,0,0
T100062,2024-01-01 15:48:00,SND1143,RCV2017,1887.96,INR,NEFT,Hyderabad,India,Grocery,payment,2.34,0,0,0,0
T100063,2024-01-01 15:34:00,SND1109,RCV2086,2756.89,INR,IMPS,Ahmedabad,India,Retail,payment,23.06,0,0,1,0
T100064,2024-01-01 03:39:00,SND1066,RCV2091,167.11,INR,UPI,Ahmedabad,India,Hospitality,cash_withdrawal,0.0,1,0,0,0
T100065,2024-01-03 14:49:00,SND1111,RCV2035,1835.82,INR,Card,Chennai,India,Grocery,payment,6.49,0,0,0,0
T100066,2024-01-02 08:37:00,SND1165,RCV2225,381.75,INR,Card,Ahmedabad,India,Retail,payment,19.7,0,0,0,0
T100067,2024-01-02 21:07:00,SND1193,RCV2200,2712.08,INR,Card,Surat,India,Services,transfer,25.0,0,0,0,0
T100068,2024-01-03 08:15:00,SND1040,RCV2016,1042.13,INR,IMPS,Chennai,India,Retail,payment,44.31,0,0,0,0
T100069,2024-01-01 18:05:00,SND1189,RCV2063,4787.7,INR,UPI,Chennai,India,Forex,payment,56.34,0,0,0,0
T100070,2024-01-01 11:45:00,SND1053,RCV2110,227.54,INR,UPI,Surat,India,Retail,payment,11.37,0,0,0,0
T100071,2024-01-03 01:07:00,SND1072,RCV2016,1840.79,INR,NEFT,Jaipur,India,Electronics,transfer,21.83,0,0,0,0
T100072,2024-01-02 05:44:00,SND1018,RCV2016,895.9,INR,UPI,Ahmedabad,India,Hospitality,refund,32.07,0,0,0,0
T100073,2024-01-02 10:40:00,SND1058,RCV2025,1844.1,INR,Card,Pune,India,RealEstate,payment,45.21,1,0,1,0
T100074,2024-01-01 04:04:00,SND1058,RCV2081,94.67,INR,UPI,Surat,India,CryptoExchange,transfer,48.16,0,0,0,0
T100075,2024-01-01 17:16:00,SND1038,RCV2003,585.74,INR,NEFT,Surat,India,Services,payment,0.0,0,0,0,0
T100076,2024-01-01 06:50:00,SND1017,RCV2226,24.3,INR,UPI,Mumbai,India,Grocery,payment,33.8,0,0,0,0
T100077,2024-01-01 18:14:00,SND1132,RCV2176,666.88,INR,UPI,Kolkata,India,Travel,payment,24.71,0,0,1,0
T100078,2024-01-01 03:51:00,SND1120,RCV2139,2409.15,INR,UPI,Hyderabad,India,Services,payout,32.47,0,0,1,0
T100079,2024-01-01 17:06:00,SND1092,RCV2242,403.35,INR,UPI,Surat,India,Retail,cash_withdrawal,23.11,0,0,0,0
T100080,2024-01-01 08:07:00,SND1008,RCV2240,766.87,INR,IMPS,Mumbai,India,Retail,transfer,9.42,0,0,0,0
T100081,2024-01-01 03:11:00,SND1104,RCV2122,3303.94,INR,Card,Surat,India,Hospitality,transfer,9.45,0,0,0,0
T100082,2024-01-01 15:32:00,SND1071,RCV2175,136.78,INR,UPI,Chennai,India,Services,payment,20.65,0,0,0,0
T100083,2024-01-02 02:09:00,SND1032,RCV2146,432.12,INR,UPI,Jaipur,India,Grocery,payment,35.46,0,0,0,0
T100084,2024-01-01 06:59:00,SND1132,RCV2248,2631.47,INR,UPI,Chennai,India,Travel,payment,26.27,0,1,1,0
T100085,2024-01-02 07:59:00,SND1112,RCV2222,23.67,INR,IMPS,Hyderabad,India,Electronics,payment,26.01,0,0,0,0
T100086,2024-01-01 06:35:00,SND1036,RCV2195,2220.09,INR,Card,Mumbai,India,Hospitality,transfer,9.57,1,0,0,0
T100087,2024-01-02 13:34:00,SND1163,RCV2006,2594.86,INR,UPI,Bengaluru,India,Electronics,payment,19.38,0,0,0,0
T100088,2024-01-01 03:35:00,SND1038,RCV2284,384.17,INR,UPI,Kolkata,India,CryptoExchange,payment,43.15,0,0,1,1
T100089,2024-01-06 17:47:00,SND1000,RCV2014,345.39,INR,IMPS,Ahmedabad,India,Grocery,payout,18.51,0,0,0,0
T100090,2024-01-03 19:39:00,SND1052,RCV2026,2157.09,INR,NEFT,Chennai,India,Services,cash_withdrawal,17.58,1,0,0,0
T100091,2024-01-01 09:28:00,SND1008,RCV2213,480.0,INR,IMPS,Mumbai,India,Retail,payment,0.0,0,0,0,0
T100092,2024-01-01 11:29:00,SND1044,RCV2101,1942.58,INR,IMPS,Jaipur,India,Electronics,cash_withdrawal,19.95,0,0,0,0
T100093,2024-01-01 00:19:00,SND1096,RCV2288,139.17,INR,IMPS,Surat,India,Grocery,payment,2.62,0,0,0,0
T100094,2024-01-01 07:26:00,SND1118,RCV2122,4138.29,INR,UPI,Jaipur,India,Travel,payout,33.43,0,0,1,0
T100095,2024-01-04 03:04:00,SND1131,RCV2021,1557.46,INR,NEFT,Surat,India,Grocery,transfer,29.53,0,0,0,0
T100096,2024-01-02 07:52:00,SND1146,RCV2172,2348.82,INR,RTGS,Bengaluru,India,Retail,payment,0.33,0,0,0,0
T100097,2024-01-01 17:12:00,SND1188,RCV2206,941.58,INR,IMPS,Surat,India,Travel,payment,37.98,0,0,0,0
T100098,2024-01-01 01:21:00,SND1176,RCV2104,1947.88,INR,UPI,Delhi,India,Forex,transfer,19.35,0,0,0,0
T100099,2024-01-03 01:52:00,SND1099,RCV2086,709.85,INR,NEFT,Chennai,India,Services,payment,0.0,0,0,0,0
T100100,2024-01-02 00:06:00,SND1083,RCV2144,5240.74,INR,UPI,Chennai,India,Retail,payment,0.0,0,0,0,0
T100101,2024-01-01 19:26:00,SND1079,RCV2265,246.31,INR,UPI,Ahmedabad,India,Forex,transfer,51.53,0,1,0,0
T100102,2024-01-02 12:20:00,SND1164,RCV2119,1330.5,INR,IMPS,Kolkata,India,Electronics,payment,30.91,1,0,0,0
T100103,2024-01-04 18:32:00,SND1068,RCV2178,250.86,INR,Card,Ahmedabad,India,Travel,payment,20.78,0,0,0,0
T100104,2024-01-01 09:46:00,SND1170,RCV2293,55.65,INR,UPI,Delhi,India,Electronics,transfer,10.64,0,0,0,0
T100105,2024-01-03 12:41:00,SND1170,RCV2113,2675.7,INR,IMPS,Mumbai,India,Retail,cash_withdrawal,48.71,0,0,1,0
T100106,2024-01-02 11:51:00,SND1052,RCV2089,270.26,INR,NEFT,Jaipur,India,Services,cash_withdrawal,14.98,0,0,0,0
T100107,2024-01-03 00:17:00,SND1131,RCV2081,582.32,INR,IMPS,Mumbai,India,Retail,payment,23.09,1,0,0,0
T100108,2024-01-01 16:48:00,SND1148,RCV2092,416.82,INR,UPI,Hyderabad,India,Retail,refund,36.34,0,0,0,0
T100109,2024-01-02 00:24:00,SND1197,RCV2220,727.53,INR,UPI,Chennai,India,Electronics,payment,43.01,0,0,0,0
T100110,2024-01-02 17:53:00,SND_HF_23,RCV2106,1365454.49,INR,IMPS,Jaipur,India,CryptoExchange,payment,59.79,0,0,0,0
T100111,2024-01-02 12:57:00,SND1156,RCV2290,150.85,INR,IMPS,Delhi,India,Electronics,payment,0.0,1,0,0,0
T100112,2024-01-01 06:40:00,SND1140,RCV2240,454.71,INR,Card,Kolkata,India,Retail,transfer,27.16,1,1,0,0
T100113,2024-01-02 00:07:00,SND1136,RCV2270,804.07,INR,IMPS,Ahmedabad,India,Hospitality,payment,0.0,0,0,0,0
T100114,2024-01-03 15:29:00,SND1166,RCV2145,253.26,INR,UPI,Chennai,India,Retail,transfer,14.69,1,1,0,0
T100115,2024-01-02 07:08:00,SND1159,RCV2077,100.35,INR,UPI,Bengaluru,India,Forex,transfer,40.66,0,0,1,1
T100116,2024-01-01 13:54:00,SND1045,RCV2217,3549.13,INR,IMPS,Kolkata,India,Retail,payout,11.27,0,0,1,0
T100117,2024-01-02 00:24:00,SND1129,RCV2026,484.43,INR,NEFT,Bengaluru,India,Jewellery,payment,16.44,0,0,0,0
T100118,2024-01-02 03:11:00,SND1097,RCV2115,1249.32,INR,Card,Jaipur,India,Retail,payment,38.74,1,0,0,0
T100119,2024-01-01 21:28:00,SND1029,RCV2114,7345.98,INR,Card,Mumbai,India,Hospitality,payment,15.5,0,0,0,0
T100120,2024-01-01 04:33:00,SND1015,RCV2225,197.75,INR,UPI,Delhi,India,Grocery,payment,20.9,0,0,0,0
T100121,2024-01-03 20:52:00,SND1005,RCV2142,2870.0,INR,UPI,Mumbai,India,Retail,transfer,0.0,0,0,0,0
T100122,2024-01-03 06:39:00,SND1079,RCV2013,783.71,INR,UPI,Delhi,India,Electronics,cash_withdrawal,30.68,0,0,0,0
T100123,2024-01-02 07:04:00,SND1064,RCV2237,1057.44,INR,UPI,Jaipur,India,CryptoExchange,payment,36.37,0,0,1,1
T100124,2024-01-03 01:58:00,SND1127,RCV2140,3142.48,INR,UPI,Hyderabad,India,Retail,payment,0.0,0,0,0,0
T100125,2024-01-01 07:55:00,SND1125,RCV2252,539.36,INR,UPI,Jaipur,India,Retail,payment,38.85,0,0,0,0
T100126,2024-01-01 02:08:00,SND1003,RCV2039,1442.62,INR,UPI,Kolkata,India,CryptoExchange,transfer,46.25,0,0,0,0
T100127,2024-01-01 21:54:00,SND1198,RCV2085,438.69,INR,UPI,Chennai,India,Retail,payment,30.1,0,0,0,0
T100128,2024-01-01 08:04:00,SND1180,RCV2172,706.41,INR,UPI,Chennai,India,Hospitality,payment,2.1,0,0,0,0
T100129,2024-01-01 15:42:00,SND1179,RCV2041,3349.61,INR,Card,Mumbai,India,CryptoExchange,cash_withdrawal,40.58,1,0,0,0
T100130,2024-01-01 09:43:00,SND1020,RCV2246,3392.38,INR,NEFT,Mumbai,India,Retail,payment,26.9,0,0,1,0
T100131,2024-01-01 02:57:00,SND1042,RCV2151,1075.68,INR,UPI,Kolkata,India,Grocery,transfer,9.83,0,0,0,0
T100132,2024-01-01 03:27:00,SND1093,RCV2007,41.75,INR,UPI,Mumbai,India,Electronics,transfer,0.0,0,0,0,0
T100133,2024-01-03 01:40:00,SND1168,RCV2118,5196.12,INR,IMPS,Ahmedabad,India,Retail,payment,42.52,0,0,0,0
T100134,2024-01-01 05:40:00,SND1009,RCV2182,717.39,INR,NEFT,Surat,India,Forex,cash_withdrawal,21.69,0,0,0,0
T100135,2024-01-03 08:25:00,SND1118,RCV2267,446.01,INR,IMPS,Chennai,India,Services,transfer,15.03,0,0,1,0
T100136,2024-01-01 12:51:00,SND1149,RCV2021,1962.64,INR,UPI,Chennai,India,Travel,transfer,20.46,0,0,0,0
T100137,2024-01-02 05:44:00,SND1183,RCV2117,1761.39,INR,IMPS,Jaipur,India,Hospitality,payment,0.0,0,1,0,0
T100138,2024-01-02 19:12:00,SND1192,RCV2223,1617.49,INR,UPI,Chennai,India,Travel,refund,12.28,0,0,1,0
T100139,2024-01-02 23:42:00,SND1053,RCV2013,2142.42,INR,RTGS,Bengaluru,India,Hospitality,payment,3.35,0,0,0,0
T100140,2024-01-02 10:22:00,SND1137,RCV2226,1641.7,INR,UPI,Pune,India,Retail,refund,37.5,1,0,0,0
T100141,2024-01-02 10:16:00,SND1079,RCV2253,1382.07,INR,NEFT,Bengaluru,India,Grocery,payment,11.41,1,0,0,0
T100142,2024-01-02 16:59:00,SND1158,RCV2018,249.29,INR,UPI,Pune,India,Electronics,payment,31.6,0,0,0,0
T100143,2024-01-01 22:51:00,SND1046,RCV2197,2072.85,INR,IMPS,Surat,India,Forex,payment,45.48,0,1,1,1
T100144,2024-01-03 11:23:00,SND1197,RCV2050,460.23,INR,UPI,Bengaluru,India,Grocery,payment,0.0,0,0,0,0
T100145,2024-01-01 01:42:00,SND1038,RCV2128,20.58,INR,UPI,Jaipur,India,Hospitality,transfer,8.01,0,0,0,0
T100146,2024-01-01 11:03:00,SND1134,RCV2219,5533.43,INR,UPI,Surat,India,Hospitality,payment,22.61,1,0,0,0
T100147,2024-01-01 14:09:00,SND1177,RCV2006,415.32,INR,IMPS,Kolkata,India,Retail,payout,17.46,0,0,0,0
T100148,2024-01-02 08:38:00,SND1164,RCV2081,1947.33,INR,UPI,Mumbai,India,Grocery,cash_withdrawal,0.0,1,0,0,0
T100149,2024-01-01 09:37:00,SND1070,RCV2288,192.86,INR,IMPS,Surat,India,Jewellery,transfer,53.45,0,0,0,0
T100150,2024-01-01 18:39:00,SND1004,RCV2111,163.98,INR,IMPS,Bengaluru,India,CryptoExchange,payment,41.44,0,0,0,0
T100151,2024-01-01 07:29:00,SND1134,RCV2153,2130.51,INR,NEFT,Ahmedabad,India,Retail,transfer,9.08,0,0,0,0
T100152,2024-01-02 03:22:00,SND1027,RCV2065,945.24,INR,Card,Mumbai,India,Grocery,transfer,7.95,0,0,0,0
T100153,2024-01-01 07:15:00,SND1011,RCV2296,1520.07,INR,IMPS,Ahmedabad,India,Jewellery,payment,16.16,0,0,0,0
T100154,2024-01-04 03:49:00,SND1106,RCV2219,315.42,INR,IMPS,Chennai,India,Grocery,refund,20.36,0,0,0,0
T100155,2024-01-02 12:44:00,SND1012,RCV2101,1611.25,INR,UPI,Chennai,India,RealEstate,payment,60.57,0,0,0,0
T100156,2024-01-01 06:55:00,SND1008,RCV2133,576.08,INR,UPI,Jaipur,India,Grocery,payment,12.52,0,0,0,0
T100157,2024-01-01 03:32:00,SND1162,RCV2040,328.42,INR,NEFT,Pune,India,CryptoExchange,payment,56.72,0,0,0,0
T100158,2024-01-01 04:29:00,SND1015,RCV2247,298.34,INR,IMPS,Mumbai,India,Hospitality,payment,40.64,0,0,1,0
T100159,2024-01-01 01:07:00,SND1116,RCV2141,407.44,INR,IMPS,Delhi,India,CryptoExchange,payout,40.19,0,0,0,0
T100160,2024-01-01 08:34:00,SND1071,RCV2146,186.02,INR,UPI,Jaipur,India,Grocery,payment,28.11,0,0,0,0
T100161,2024-01-02 03:18:00,SND1123,RCV2274,189.16,INR,IMPS,Kolkata,India,Retail,payment,33.27,1,0,0,0
T100162,2024-01-02 06:24:00,SND1186,RCV2040,3507.94,INR,IMPS,Jaipur,India,Grocery,payment,38.58,0,0,0,0
T100163,2024-01-03 03:53:00,SND1148,RCV2275,1015.24,INR,IMPS,Jaipur,India,Services,transfer,21.72,0,0,0,0
T100164,2024-01-02 00:17:00,SND1174,RCV2075,231.92,INR,UPI,Kolkata,India,Grocery,refund,38.33,0,0,0,0
T100165,2024-01-01 03:40:00,SND1149,RCV2066,4519.62,INR,NEFT,Pune,India,Services,payment,46.24,0,0,1,0
T100166,2024-01-01 01:21:00,SND_HF_8,RCV2092,1471.36,INR,UPI,Kolkata,India,Electronics,payment,15.36,0,0,0,0
T100167,2024-01-01 11:34:00,SND1125,RCV2036,2567.33,INR,NEFT,Pune,India,Forex,payment,27.23,1,0,0,0
T100168,2024-01-01 06:01:00,SND1167,RCV2071,1887.82,INR,NEFT,Mumbai,India,Hospitality,cash_withdrawal,12.75,0,0,0,0
T100169,2024-01-02 14:40:00,SND1193,RCV2160,700.8,INR,UPI,Ahmedabad,India,Hospitality,payment,22.2,1,0,0,0
T100170,2024-01-02 12:48:00,SND1104,RCV2265,234.27,INR,UPI,Pune,India,Services,transfer,20.88,1,1,0,0
T100171,2024-01-01 11:39:00,SND1064,RCV2212,375.12,INR,UPI,Ahmedabad,India,CryptoExchange,transfer,27.68,0,0,0,0
T100172,2024-01-01 12:11:00,SND1121,RCV2287,2933.28,INR,Card,Pune,India,Electronics,payment,39.57,0,0,0,0
T100173,2024-01-01 06:05:00,SND1164,RCV2055,4406.17,INR,UPI,Surat,India,CryptoExchange,refund,11.81,1,0,0,0
T100174,2024-01-02 13:40:00,SND1068,RCV2175,6648.78,INR,UPI,Kolkata,India,Retail,cash_withdrawal,3.28,1,0,0,0
T100175,2024-01-01 17:49:00,SND_HF_27,RCV2124,522.14,INR,Card,Chennai,India,Services,payment,21.47,0,0,0,0
T100176,2024-01-06 17:51:00,SND1076,RCV2125,740.45,INR,UPI,Kolkata,India,Services,payment,0.98,0,0,0,0
T100177,2024-01-03 10:26:00,SND1108,RCV2020,1233.68,INR,UPI,Ahmedabad,India,Services,payment,21.85,0,0,0,0
T100178,2024-01-02 20:12:00,SND1081,RCV2248,938.3,INR,IMPS,Ahmedabad,India,Retail,payment,0.0,0,0,0,0
T100179,2024-01-02 01:24:00,SND_HF_22,RCV2004,493.96,INR,IMPS,Hyderabad,India,Retail,payment,23.61,0,0,0,0
T100180,2024-01-02 05:37:00,SND1101,RCV2215,1406.18,INR,Card,Bengaluru,India,Forex,payout,40.73,0,0,0,0
T100181,2024-01-01 07:27:00,SND1072,RCV2224,106.74,INR,IMPS,Chennai,India,Jewellery,refund,47.81,1,0,0,0
T100182,2024-01-02 18:45:00,SND1053,RCV2125,2580.51,INR,UPI,Bengaluru,India,Electronics,cash_withdrawal,34.3,0,1,0,0
T100183,2024-01-03 11:53:00,SND1000,RCV2140,2207.51,INR,RTGS,Mumbai,India,Hospitality,refund,27.7,1,0,1,0
T100184,2024-01-01 17:26:00,SND_HF_11,RCV2071,2487.23,INR,Card,Delhi,India,Retail,payment,25.86,1,0,0,0
T100185,2024-01-01 21:41:00,SND1065,RCV2012,365.7,INR,IMPS,Bengaluru,India,Hospitality,cash_withdrawal,31.89,0,0,0,0
T100186,2024-01-01 21:34:00,SND1064,RCV2157,1397.59,INR,UPI,Jaipur,India,Hospitality,payment,30.17,0,0,0,0
T100187,2024-01-02 09:47:00,SND1113,RCV2052,1216.12,INR,NEFT,Pune,India,Travel,payment,26.09,0,0,0,0
T100188,2024-01-02 18:38:00,SND1104,RCV2078,324.3,INR,IMPS,Delhi,India,Electronics,transfer,7.12,1,0,0,0
T100189,2024-01-03 13:39:00,SND1171,RCV2140,720.57,INR,Card,Bengaluru,India,Retail,transfer,36.88,0,0,0,0
T100190,2024-01-02 16:33:00,SND1137,RCV2212,1656.65,INR,Card,Mumbai,India,Travel,cash_withdrawal,17.22,0,0,1,0
T100191,2024-01-01 23:00:00,SND1102,RCV2040,186.45,INR,NEFT,Bengaluru,India,Grocery,payment,0.0,0,0,0,0
T100192,2024-01-03 15:18:00,SND1015,RCV2165,3192.36,INR,UPI,Pune,India,Forex,payment,45.42,0,0,0,0
T100193,2024-01-02 17:37:00,SND1181,RCV2020,697.79,INR,UPI,Hyderabad,India,Hospitality,payment,6.47,1,0,0,0
T100194,2024-01-04 08:39:00,SND_HF_4,RCV2137,2008.85,INR,UPI,Hyderabad,India,Electronics,transfer,41.18,0,0,1,0
T100195,2024-01-01 04:42:00,SND1026,RCV2169,2478.81,INR,UPI,Hyderabad,India,Grocery,payment,11.74,0,0,0,0
T100196,2024-01-02 10:13:00,SND_HF_11,RCV2134,1698.57,INR,NEFT,Ahmedabad,India,Hospitality,transfer,0.0,0,0,0,0
T100197,2024-01-01 09:26:00,SND1155,RCV2123,99.38,INR,Card,Jaipur,India,Electronics,payment,5.96,0,0,0,0
T100198,2024-01-03 02:00:00,SND1016,RCV2198,1470.93,INR,IMPS,Bengaluru,India,Retail,transfer,0.53,0,0,0,0
T100199,2024-01-04 11:09:00,SND1181,RCV2046,1766.77,INR,RTGS,Delhi,India,Retail,refund,43.67,0,0,0,0
T100200,2024-01-02 01:08:00,SND1014,RCV2121,128.95,INR,UPI,Hyderabad,India,Hospitality,payment,17.45,0,0,0,0
